,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,185.0,682,682,0,1.5010274
1, 0, 0, 0, 0, 75.0, 398, 1080, 1, 0.7796545000000012
2, 0, 0, 0, 0, 105.0, 524, 1604, 2, 1.058781699999999
3, 0, 0, 0, 0, 105.0, 633, 2237, 3, 1.2419437999999996
4, 0, 0, 0, 0, 210.0, 724, 2961, 4, 1.4203942000000005
5, 0, 0, 0, 0, 35.0, 506, 3467, 5, 1.0210743999999998
6, 0, 0, 0, 0, 285.0, 922, 4389, 6, 1.7770736000000014
7, 0, 0, 0, 0, 105.0, 691, 5080, 7, 1.343838899999998
8, 0, 0, 0, 0, 50.0, 374, 5454, 8, 0.7386470999999979
9, 0, 0, 0, 0, 15.0, 506, 5960, 9, 0.9770706999999987
10, 0, 0, 0, 0, 135.0, 639, 6599, 10, 1.3129723999999996
11, 0, 0, 0, 0, 315.0, 781, 7380, 11, 1.6348847999999983
12, 0, 0, 0, 0, 75.0, 542, 7922, 12, 1.061399399999999
13, 0, 0, 0, 0, 170.0, 681, 8603, 13, 1.398682400000002
14, 0, 0, 0, 0, 155.0, 746, 9349, 14, 1.5019151000000015
15, 0, 0, 0, 0, 210.0, 593, 9942, 15, 1.1888393000000015
16, 0, 0, 0, 0, 110.0, 766, 10708, 16, 1.5004714000000021
17, 0, 0, 0, 0, 105.0, 613, 11321, 17, 1.2080085999999994
18, 0, 0, 0, 0, 150.0, 582, 11903, 18, 1.1699008000000006
19, 0, 0, 0, 0, 155.0, 724, 12627, 19, 1.3921175999999988
20, 0, 0, 0, 0, 115.0, 660, 13287, 20, 1.3136239000000032
21, 0, 0, 0, 0, 120.0, 675, 13962, 21, 1.3248435
22, 0, 0, 0, 0, 60.0, 706, 14668, 22, 1.4056746000000047
23, 0, 0, 0, 0, 210.0, 789, 15457, 23, 1.6124481999999958
24, 0, 0, 0, 0, 155.0, 664, 16121, 24, 1.3245436999999995
25, 0, 0, 0, 0, 240.0, 1115, 17236, 25, 2.1248957999999973
26, 0, 0, 0, 0, 625.0, 1378, 18614, 26, 2.6126026999999965
27, 0, 0, 0, 0, 30.0, 444, 19058, 27, 0.8912295999999955
28, 0, 0, 0, 0, 65.0, 449, 19507, 28, 0.9061385000000044
29, 0, 0, 0, 0, 120.0, 696, 20203, 29, 1.3832572999999968
30, 0, 0, 0, 0, 110.0, 639, 20842, 30, 1.2810744999999955
31, 0, 0, 0, 0, 80.0, 405, 21247, 31, 0.8036677999999995
32, 0, 0, 0, 0, 120.0, 796, 22043, 32, 1.5483820999999978
33, 0, 0, 0, 0, 225.0, 906, 22949, 33, 1.7911704000000057
34, 0, 0, 0, 0, 165.0, 785, 23734, 34, 1.5721782000000033
35, 0, 0, 0, 0, 110.0, 631, 24365, 35, 1.233500399999997
36, 0, 0, 0, 0, 210.0, 856, 25221, 36, 1.6418272000000016
37, 0, 0, 0, 0, 215.0, 824, 26045, 37, 1.5780657000000033
38, 0, 0, 0, 0, 180.0, 613, 26658, 38, 1.2075458999999995
39, 0, 0, 0, 0, 410.0, 790, 27448, 39, 1.5330407000000008
40, 0, 0, 0, 0, 30.0, 569, 28017, 40, 1.1222440000000091
41, 0, 0, 0, 0, 410.0, 981, 28998, 41, 1.9321041999999977
42, 0, 0, 0, 0, 105.0, 641, 29639, 42, 1.3182381999999961
43, 0, 0, 0, 0, 110.0, 692, 30331, 43, 1.407821300000009
44, 0, 0, 0, 0, 210.0, 886, 31217, 44, 1.7406404000000038
45, 0, 0, 0, 0, 20.0, 569, 31786, 45, 1.1229326999999927
46, 0, 0, 0, 0, 110.0, 645, 32431, 46, 1.2756561000000062
47, 0, 0, 0, 0, 155.0, 733, 33164, 47, 1.439934000000008
48, 0, 0, 0, 0, 130.0, 795, 33959, 48, 1.559309600000006
49, 0, 0, 0, 0, 245.0, 930, 34889, 49, 1.814161200000001
50, 0, 0, 0, 0, 50.0, 416, 35305, 50, 0.8343638999999996
51, 0, 0, 0, 0, 65.0, 379, 35684, 51, 0.7605871000000093
52, 0, 0, 0, 0, 155.0, 772, 36456, 52, 1.5210110999999955
53, 0, 0, 0, 0, 330.0, 1304, 37760, 53, 2.5036137000000025
54, 0, 0, 0, 0, 410.0, 822, 38582, 54, 1.5928085000000038
55, 0, 0, 0, 0, 150.0, 908, 39490, 55, 1.748249599999994
56, 0, 0, 0, 0, 135.0, 733, 40223, 56, 1.4037527999999924
57, 0, 0, 0, 0, 75.0, 393, 40616, 57, 0.7767400000000038
58, 0, 0, 0, 0, 380.0, 985, 41601, 58, 1.9971536000000043
59, 0, 0, 0, 0, 60.0, 587, 42188, 59, 1.213633999999999
60, 0, 0, 0, 0, 210.0, 801, 42989, 60, 1.6139162999999996
