,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,55.0,399,399,0,0.9887306999999996
1, 0, 0, 0, 0, 155.0, 502, 901, 1, 1.1467516999999994
2, 0, 0, 0, 0, 135.0, 674, 1575, 2, 1.548380700000001
3, 0, 0, 0, 0, 50.0, 539, 2114, 3, 1.2886521999999996
4, 0, 0, 0, 0, 105.0, 748, 2862, 4, 1.7002695999999986
5, 0, 0, 0, 0, 55.0, 408, 3270, 5, 0.8670290999999999
6, 0, 0, 0, 0, 65.0, 375, 3645, 6, 0.8139362000000006
7, 0, 0, 0, 0, 45.0, 383, 4028, 7, 0.8328075999999989
8, 0, 0, 0, 0, 110.0, 616, 4644, 8, 1.2855033999999996
9, 0, 0, 0, 0, 460.0, 968, 5612, 9, 1.985022100000002
10, 0, 0, 0, 0, 155.0, 1100, 6712, 10, 2.256483499999998
11, 0, 0, 0, 0, 70.0, 477, 7189, 11, 1.004555100000001
12, 0, 0, 0, 0, 105.0, 606, 7795, 12, 1.2498955999999986
13, 0, 0, 0, 0, 180.0, 955, 8750, 13, 1.9755604999999967
14, 0, 0, 0, 0, 450.0, 1382, 10132, 14, 2.7834380000000003
15, 0, 0, 0, 0, 160.0, 631, 10763, 15, 1.3209434999999985
16, 0, 0, 0, 0, 215.0, 900, 11663, 16, 1.8453812999999997
17, 0, 0, 0, 0, 125.0, 815, 12478, 17, 1.6891145000000023
18, 0, 0, 0, 0, 215.0, 1419, 13897, 18, 3.0350613000000024
19, 0, 0, 0, 0, 80.0, 373, 14270, 19, 0.8128255999999965
20, 0, 0, 0, 0, 80.0, 592, 14862, 20, 1.2599514999999997
21, 0, 0, 0, 0, 480.0, 953, 15815, 21, 1.9618072999999967
22, 0, 0, 0, 0, 125.0, 753, 16568, 22, 1.5766583000000054
23, 0, 0, 0, 0, 180.0, 612, 17180, 23, 1.2953114000000028
24, 0, 0, 0, 0, 80.0, 515, 17695, 24, 1.0877504999999985
25, 0, 0, 0, 0, 230.0, 723, 18418, 25, 1.5412107000000006
26, 0, 0, 0, 0, 50.0, 391, 18809, 26, 0.8465010999999976
27, 0, 0, 0, 0, 245.0, 1224, 20033, 27, 2.514489300000001
28, 0, 0, 0, 0, 80.0, 385, 20418, 28, 0.8269979999999961
29, 0, 0, 0, 0, 155.0, 623, 21041, 29, 1.3252809000000028
30, 0, 0, 0, 0, 55.0, 516, 21557, 30, 1.1032313000000045
31, 0, 0, 0, 0, 285.0, 1030, 22587, 31, 2.2106828000000007
32, 0, 0, 0, 0, 60.0, 500, 23087, 32, 1.0641018999999972
33, 0, 0, 0, 0, 115.0, 608, 23695, 33, 1.293271599999997
34, 0, 0, 0, 0, 50.0, 607, 24302, 34, 1.2806150999999986
35, 0, 0, 0, 0, 180.0, 730, 25032, 35, 1.5321440999999965
36, 0, 0, 0, 0, 210.0, 794, 25826, 36, 1.6528455999999991
37, 0, 0, 0, 0, 145.0, 781, 26607, 37, 1.6248337000000106
38, 0, 0, 0, 0, 65.0, 577, 27184, 38, 1.2069451999999927
39, 0, 0, 0, 0, 110.0, 611, 27795, 39, 1.2981550000000084
40, 0, 0, 0, 0, 80.0, 650, 28445, 40, 1.3585653999999892
41, 0, 0, 0, 0, 120.0, 497, 28942, 41, 1.0723732999999953
42, 0, 0, 0, 0, 210.0, 1232, 30174, 42, 2.5386924999999962
43, 0, 0, 0, 0, 75.0, 655, 30829, 43, 1.3835949999999997
44, 0, 0, 0, 0, 170.0, 532, 31361, 44, 1.13951449999999
45, 0, 0, 0, 0, 215.0, 979, 32340, 45, 2.058995699999997
46, 0, 0, 0, 0, 65.0, 593, 32933, 46, 1.254646799999989
47, 0, 0, 0, 0, 120.0, 667, 33600, 47, 1.3968353000000064
48, 0, 0, 0, 0, 45.0, 562, 34162, 48, 1.1966223000000014
49, 0, 0, 0, 0, 165.0, 978, 35140, 49, 2.128471399999995
50, 0, 0, 0, 0, 10.0, 444, 35584, 50, 0.9399753999999945
51, 0, 0, 0, 0, 355.0, 940, 36524, 51, 1.9361951000000062
52, 0, 0, 0, 0, 80.0, 718, 37242, 52, 1.5092738999999966
53, 0, 0, 0, 0, 65.0, 613, 37855, 53, 1.291858099999999
54, 0, 0, 0, 0, 275.0, 1024, 38879, 54, 2.1000508999999994
55, 0, 0, 0, 0, 285.0, 884, 39763, 55, 1.8280603000000042
56, 0, 0, 0, 0, 105.0, 546, 40309, 56, 1.148042899999993
57, 0, 0, 0, 0, 460.0, 1450, 41759, 57, 2.9147846999999985
58, 0, 0, 0, 0, 30.0, 396, 42155, 58, 0.8416033999999968
59, 0, 0, 0, 0, 515.0, 1074, 43229, 59, 2.2074850000000055
60, 0, 0, 0, 0, 210.0, 821, 44050, 60, 1.7212176999999969
61, 0, 0, 0, 0, 105.0, 523, 44573, 61, 1.1218839000000003
62, 0, 0, 0, 0, 120.0, 691, 45264, 62, 1.4799165999999957
63, 0, 0, 0, 0, 180.0, 909, 46173, 63, 1.9081249000000042
64, 0, 0, 0, 0, 240.0, 821, 46994, 64, 1.729916000000003
65, 0, 0, 0, 0, 110.0, 708, 47702, 65, 1.488222499999992
66, 0, 0, 0, 0, 100.0, 578, 48280, 66, 1.306122099999996
67, 0, 0, 0, 0, 5.0, 577, 48857, 67, 1.2852062000000046
68, 0, 0, 0, 0, 100.0, 715, 49572, 68, 1.497767500000009
69, 0, 0, 0, 0, 145.0, 499, 50071, 69, 1.0609786999999926
70, 0, 0, 0, 0, 55.0, 518, 50589, 70, 1.1096976999999981
71, 0, 0, 0, 0, 120.0, 638, 51227, 71, 1.3680183999999969
72, 0, 0, 0, 0, 155.0, 641, 51868, 72, 1.3900328999999942
73, 0, 0, 0, 0, 185.0, 735, 52603, 73, 1.6066442000000052
74, 0, 0, 0, 0, 185.0, 941, 53544, 74, 1.943256599999998
75, 0, 0, 0, 0, 45.0, 421, 53965, 75, 0.8827107000000041
76, 0, 0, 0, 0, 45.0, 529, 54494, 76, 1.1247716999999966
77, 0, 0, 0, 0, 50.0, 396, 54890, 77, 0.8438591000000031
78, 0, 0, 0, 0, 365.0, 1164, 56054, 78, 2.3765566000000007
79, 0, 0, 0, 0, 110.0, 696, 56750, 79, 1.4463077000000055
80, 0, 0, 0, 0, 215.0, 819, 57569, 80, 1.6791867000000025
81, 0, 0, 0, 0, 50.0, 536, 58105, 81, 1.1508220999999992
82, 0, 0, 0, 0, 135.0, 690, 58795, 82, 1.4540307000000041
83, 0, 0, 0, 0, 210.0, 645, 59440, 83, 1.3647738999999888
84, 0, 0, 0, 0, 180.0, 643, 60083, 84, 1.3613961000000074
85, 0, 0, 0, 0, 30.0, 478, 60561, 85, 1.0378275999999858
86, 0, 0, 0, 0, 55.0, 534, 61095, 86, 1.1287221999999986
87, 0, 0, 0, 0, 75.0, 679, 61774, 87, 1.397367700000018
88, 0, 0, 0, 0, 455.0, 1211, 62985, 88, 2.4530809999999974
89, 0, 0, 0, 0, 65.0, 402, 63387, 89, 0.8508221000000162
90, 0, 0, 0, 0, 80.0, 538, 63925, 90, 1.1163158999999894
91, 0, 0, 0, 0, 605.0, 1360, 65285, 91, 2.8542171999999937
92, 0, 0, 0, 0, 160.0, 730, 66015, 92, 1.5241126999999892
93, 0, 0, 0, 0, 75.0, 493, 66508, 93, 1.0615118000000052
94, 0, 0, 0, 0, 420.0, 947, 67455, 94, 1.9518185000000017
95, 0, 0, 0, 0, 335.0, 1077, 68532, 95, 2.255240200000003
96, 0, 0, 0, 0, 240.0, 1015, 69547, 96, 2.054984100000013
97, 0, 0, 0, 0, 275.0, 836, 70383, 97, 1.7161759999999902
98, 0, 0, 0, 0, 50.0, 343, 70726, 98, 0.7365788999999836
99, 0, 0, 0, 0, 60.0, 382, 71108, 99, 0.817377300000004
100, 0, 0, 0, 0, 295.0, 948, 72056, 100, 1.9242253999999832
101, 0, 0, 0, 0, 340.0, 1165, 73221, 101, 2.368199599999997
102, 0, 0, 0, 0, 115.0, 612, 73833, 102, 1.3101061999999786
103, 0, 0, 0, 0, 15.0, 499, 74332, 103, 1.0435420000000022
104, 0, 0, 0, 0, 135.0, 493, 74825, 104, 1.0475348000000224
105, 0, 0, 0, 0, 210.0, 651, 75476, 105, 1.3536608
106, 0, 0, 0, 0, 155.0, 638, 76114, 106, 1.3532510000000002
107, 0, 0, 0, 0, 120.0, 512, 76626, 107, 1.0876288999999986
108, 0, 0, 0, 0, 215.0, 881, 77507, 108, 1.8487004999999783
109, 0, 0, 0, 0, 155.0, 671, 78178, 109, 1.4230796999999882
110, 0, 0, 0, 0, 95.0, 498, 78676, 110, 1.0511595000000113
111, 0, 0, 0, 0, 160.0, 856, 79532, 111, 1.7847140000000081
112, 0, 0, 0, 0, 55.0, 483, 80015, 112, 1.0400444999999934
113, 0, 0, 0, 0, 275.0, 897, 80912, 113, 1.8633092000000033
114, 0, 0, 0, 0, 40.0, 504, 81416, 114, 1.1456316000000015
115, 0, 0, 0, 0, 160.0, 775, 82191, 115, 1.6031475000000057
116, 0, 0, 0, 0, 140.0, 677, 82868, 116, 1.4223263000000088
117, 0, 0, 0, 0, 110.0, 670, 83538, 117, 1.4311154999999758
118, 0, 0, 0, 0, 110.0, 438, 83976, 118, 0.9215186999999787
119, 0, 0, 0, 0, 225.0, 929, 84905, 119, 1.892317399999996
120, 0, 0, 0, 0, 85.0, 641, 85546, 120, 1.3470891999999992
121, 0, 0, 0, 0, 205.0, 984, 86530, 121, 2.053656100000012
122, 0, 0, 0, 0, 225.0, 1228, 87758, 122, 2.5571305999999936
123, 0, 0, 0, 0, 385.0, 860, 88618, 123, 1.8070602999999892
124, 0, 0, 0, 0, 125.0, 561, 89179, 124, 1.1864987000000156
125, 0, 0, 0, 0, 155.0, 714, 89893, 125, 1.5105424000000198
126, 0, 0, 0, 0, 155.0, 565, 90458, 126, 1.2072886000000267
127, 0, 0, 0, 0, 35.0, 393, 90851, 127, 0.8424716000000103
128, 0, 0, 0, 0, 105.0, 570, 91421, 128, 1.2104917999999998
129, 0, 0, 0, 0, 40.0, 543, 91964, 129, 1.1681288999999992
130, 0, 0, 0, 0, 435.0, 1262, 93226, 130, 2.5893236
131, 0, 0, 0, 0, 115.0, 564, 93790, 131, 1.180223600000005
132, 0, 0, 0, 0, 170.0, 814, 94604, 132, 1.692699900000008
133, 0, 0, 0, 0, 175.0, 1005, 95609, 133, 2.0792894999999874
134, 0, 0, 0, 0, 155.0, 569, 96178, 134, 1.1888165999999956
135, 0, 0, 0, 0, 30.0, 442, 96620, 135, 0.9372663000000045
136, 0, 0, 0, 0, 160.0, 992, 97612, 136, 2.0787663000000123
137, 0, 0, 0, 0, 475.0, 919, 98531, 137, 1.948653500000006
138, 0, 0, 0, 0, 105.0, 538, 99069, 138, 1.1394202999999834
139, 0, 0, 0, 0, 30.0, 423, 99492, 139, 0.9220609999999851
140, 476.40955977006394, 58.40259049155495, 89.70376777648926, 0.9099797500000002, 120.0, 553, 100045, 140, 1.8343629999999962
141, 77.84955667173911, 58.13046084117497, 74.7747461923356, 0.9097412499999996, 30.0, 486, 100531, 141, 4.3968907
142, 43.681880867171905, 57.69613565989359, 71.7356114263782, 0.9092971000000003, 100.0, 501, 101032, 142, 4.5603366999999935
143, 42.412883212548174, 57.49684228969894, 71.06836850406559, 0.9088358500000001, 145.0, 524, 101556, 143, 5.0349121999999795
144, 37.64779176612349, 57.790029979887464, 70.99410822444122, 0.9082126000000001, 205.0, 861, 102417, 144, 7.849844399999995
145, 33.202386597056446, 57.501213079617344, 70.58244744642282, 0.9075335500000001, 305.0, 648, 103065, 145, 5.999530399999998
146, 36.735114844477906, 57.42904562852821, 70.3494220558478, 0.9070655499999998, 100.0, 392, 103457, 146, 4.081974800000012
147, 34.222388633120985, 57.34340373861854, 70.0831464177661, 0.9066402999999998, 100.0, 553, 104010, 147, 5.080932299999972
148, 32.7026959711469, 57.535534512118886, 70.31882899957145, 0.906202, 5.0, 421, 104431, 148, 3.8823442999999997
149, 29.905796832802856, 57.55835226553458, 70.22113117641872, 0.9056480500000005, 410.0, 810, 105241, 149, 7.205847399999982
150, 31.164395582521117, 57.60667855398996, 70.13705942228243, 0.9049370500000005, 135.0, 770, 106011, 150, 7.057291399999997
151, 34.51688845434854, 57.679478419104285, 70.3721419992373, 0.9043002999999997, 180.0, 645, 106656, 151, 5.958218699999975
152, 30.875411452592836, 57.55588963792947, 70.08620886186182, 0.9036689499999996, 285.0, 758, 107414, 152, 6.913975499999992
153, 28.647086806574688, 57.44130683539647, 69.85407143484522, 0.9030029500000003, 185.0, 722, 108136, 153, 6.635912700000006
154, 30.390575572361133, 57.59148582879962, 69.9831846080208, 0.9022789000000003, 330.0, 887, 109023, 154, 8.11119610000003
155, 29.027838081337716, 57.573058871641564, 69.85181989517544, 0.9015696999999999, 155.0, 689, 109712, 155, 6.34061539999999
156, 36.77580166203635, 58.821665593556, 71.46963018689837, 0.9010076499999998, 125.0, 560, 110272, 156, 5.240835899999979
157, 32.20034864106154, 59.83184481393262, 72.48816636371129, 0.90057835, 80.0, 394, 110666, 157, 3.7344540999999936
158, 30.015498304367064, 59.860468244552614, 72.5658699798584, 0.90022105, 50.0, 400, 111066, 158, 3.7279295999999817
159, 26.310883848434653, 59.67431688764583, 72.39953395923739, 0.8998056999999995, 80.0, 523, 111589, 159, 4.907933200000002
160, 20.3747585942195, 59.44032823415903, 71.98741888192984, 0.8992778500000005, 110.0, 650, 112239, 160, 6.033498500000007
161, 22.47915457102878, 59.35345894049022, 71.90090126749195, 0.8986041999999996, 210.0, 847, 113086, 161, 7.880251600000008
162, 19.190083727060063, 59.46721103919788, 71.95206573609549, 0.8978886999999998, 210.0, 743, 113829, 162, 6.967660199999955
163, 19.572655496473836, 59.47381782531738, 72.01600777215556, 0.89727625, 130.0, 618, 114447, 163, 5.768706100000031
164, 22.364165889692007, 59.5783689918758, 72.1136931989178, 0.8966404000000004, 210.0, 795, 115242, 164, 7.471467999999959
165, 23.605162169925126, 59.628717094762216, 72.10650882524314, 0.8960207500000003, 155.0, 582, 115824, 165, 5.397594999999967
166, 21.658649364659485, 59.49988728375502, 71.87987928793464, 0.8954393499999994, 175.0, 710, 116534, 166, 6.655122600000027
167, 19.03947466018831, 59.42529043419566, 71.68162404747073, 0.894853, 55.0, 593, 117127, 167, 5.577337199999988
168, 18.659944450533068, 59.51342032406781, 71.84085983843417, 0.8943197499999997, 15.0, 592, 117719, 168, 5.580233099999987
169, 17.643845155634033, 59.51024693214089, 71.88654676098034, 0.8936866000000004, 180.0, 815, 118534, 169, 7.47774830000003
170, 18.857105073589963, 59.31033683428304, 71.53418190467175, 0.8931425499999999, 20.0, 394, 118928, 170, 3.885809600000016
171, 19.60508255627629, 59.61580378776093, 71.97498941271087, 0.8926799499999994, 75.0, 634, 119562, 171, 5.571574499999997
172, 19.0548124787102, 59.567460680110926, 71.75914526294683, 0.8921863000000001, 80.0, 463, 120025, 172, 4.1416878
173, 30.870060968548525, 60.41136680052946, 72.94147050791773, 0.8916908500000003, 120.0, 638, 120663, 173, 5.362389499999949
174, 23.907548517794222, 60.53940720991655, 73.09653829063771, 0.8912206, 45.0, 407, 121070, 174, 3.840449299999989
175, 21.7646395923188, 60.21920359356803, 72.81173781282413, 0.8907476500000002, 40.0, 644, 121714, 175, 5.448225100000002
176, 27.1325050536324, 60.35828533172607, 72.99602275175207, 0.8903048499999999, 50.0, 340, 122054, 176, 3.0813679999999977
177, 18.771265216307206, 60.058753764990605, 72.52967670325077, 0.8898548499999995, 125.0, 660, 122714, 177, 5.608710299999984
178, 21.630407182260413, 60.15324930384539, 72.67643330523357, 0.8890921000000003, 285.0, 1035, 123749, 178, 9.223332200000016
179, 17.670920420228764, 60.11878543429904, 72.44918854197908, 0.8882659000000002, 180.0, 801, 124550, 179, 6.919880500000033
180, 20.19732583074405, 60.065370335122296, 72.4828824413066, 0.8876188, 120.0, 637, 125187, 180, 5.795482800000002
181, 19.54734257572804, 60.17915812022354, 72.84901094374638, 0.8869860999999993, 190.0, 769, 125956, 181, 6.8706052
182, 20.260080952740644, 60.02362687960434, 72.50879278874879, 0.8860384000000006, 390.0, 1337, 127293, 182, 11.864557199999979
183, 20.45812629866721, 60.21028613075992, 72.72554913148058, 0.8850821500000001, 180.0, 788, 128081, 183, 7.070379500000001
184, 17.92646683488688, 60.16866928731008, 72.5917660904574, 0.8841938499999995, 185.0, 1186, 129267, 184, 11.745271099999968
185, 17.883741669229583, 60.36280594740692, 72.60770765880028, 0.883423, 50.0, 527, 129794, 185, 4.805557399999998
186, 24.190875371026426, 61.537256400061224, 74.15753427924655, 0.8829216999999995, 80.0, 587, 130381, 186, 5.440884400000016
187, 23.847074674317618, 62.299052998090794, 74.97060082863933, 0.8822948500000002, 170.0, 806, 131187, 187, 7.493727699999965
188, 27.405534409148036, 62.451027247189735, 75.3041053512148, 0.8816414499999997, 210.0, 646, 131833, 188, 6.0460919999999305
189, 23.720000632569928, 62.3337979041024, 75.00352982841672, 0.8811406000000004, 80.0, 467, 132300, 189, 4.396222399999942
190, 24.09655002800815, 62.29627276041422, 75.00335999760762, 0.8807063500000001, 75.0, 498, 132798, 190, 4.7449444000000085
191, 26.01845780952827, 62.11577271148042, 74.78482744977191, 0.8801604999999999, 215.0, 715, 133513, 191, 6.651682100000016
192, 23.859892355299543, 62.1633425635853, 74.61620038679277, 0.8795255500000002, 210.0, 696, 134209, 192, 6.305721400000039
193, 26.262426224721743, 62.20767280473138, 74.89383044733613, 0.8789193999999997, 125.0, 651, 134860, 193, 5.890806699999985
194, 26.418213816425745, 62.31527901890382, 74.90250160201357, 0.8781953499999996, 460.0, 958, 135818, 194, 8.760285799999906
195, 24.17941751266061, 62.29728779590635, 74.9029101707097, 0.8775837999999999, 30.0, 401, 136219, 195, 3.6900890000000572
196, 25.63204046033604, 62.33119439768698, 75.01714288242772, 0.8770573000000003, 185.0, 769, 136988, 196, 7.016790900000046
197, 28.79631982284807, 62.45437136167809, 75.22262106195602, 0.8764745500000002, 85.0, 526, 137514, 197, 4.6110007000000905
198, 24.870134537147752, 62.187480134675, 74.69795079086767, 0.8759408499999994, 120.0, 660, 138174, 198, 6.077966100000026
199, 24.666715042407695, 62.29897909311148, 74.871447460468, 0.8753513500000003, 110.0, 650, 138824, 199, 5.937770399999977
200, 23.157977773529193, 62.23999446210986, 74.7503501201727, 0.8744770000000004, 215.0, 1293, 140117, 200, 11.78899869999998
201, 16.318239465385975, 62.83493696270567, 75.57187074603456, 0.8736724000000001, 90.0, 495, 140612, 201, 4.570967400000086
202, 14.298093575738662, 62.85326745656616, 75.60459906295691, 0.8730468999999993, 210.0, 895, 141507, 202, 8.22546120000004
203, 12.87776307437731, 62.675381100696065, 75.35685858519182, 0.8723957500000001, 85.0, 552, 142059, 203, 5.0643162000000075
204, 13.92574078613042, 62.63004134174839, 75.32881924831909, 0.8717599000000003, 410.0, 861, 142920, 204, 7.86013109999999
