episode,Cone L7,ConeInv L7,HourG L7,HourGInv L7,Line L7,Cone L6,ConeInv L6,HourG L6,HourGInv L6,Line L6,Cone L5,ConeInv L5,HourG L5,HourGInv L5,Line L5,Cone L4,ConeInv L4,HourG L4,HourGInv L4,Line L4,Cone L3,ConeInv L3,HourG L3,HourGInv L3,Line L3
950,24.46247043,37.96157654,31.83240392,40.94156418,26.25445841,18.66667123,47.37786308,68.45355893,55.33423998,43.39822535,21.10256907,35.22447798,41.73455501,28.88182808,56.40160691,25.10349345,93.79899025,80.49031109,62.70361759,82.52144222,46.03200292,56.75329178,70.25866588,45.3712342,39.73947983
1000,24.97275124,37.62239848,32.4880811,41.82786346,26.82028236,19.16294668,47.93845993,67.77895254,54.65372679,42.47778008,21.06585265,37.36953019,42.50061258,29.93981338,57.26405248,25.03150759,89.12784035,80.62026316,60.38180677,81.03654344,45.51752485,55.75058336,69.34283577,44.69020535,41.20068802
1050,25.81319723,37.90704507,33.37862012,41.11378893,27.78350189,20.20064089,48.38036253,68.02103662,53.48896109,42.61386501,22.81382807,37.34841976,42.94269472,30.29055568,57.78847755,24.84281519,85.82601124,80.07104174,60.90616092,79.45174538,46.03318805,55.63816394,69.11533876,43.45247959,42.44403909
1100,25.93267351,37.37449276,34.64327515,43.03289615,30.23778656,20.68533184,47.5535013,68.16944105,52.55783355,41.2691011,22.46211266,37.31393397,43.17355188,30.34855191,55.28827602,26.32838919,83.50412818,80.0071392,58.4000029,78.54123022,45.63868022,57.86345822,69.82652888,43.35137542,43.22609013
1150,26.13471733,37.51182863,35.58726437,42.99850744,30.4265797,21.71956893,46.26228642,68.89005484,52.42575008,40.75182448,22.99004633,37.87743645,42.54039209,29.5299362,54.94064378,26.95342393,81.26016953,77.3960493,58.64081367,77.03038997,46.65487592,56.13016078,69.75498381,42.57866134,43.80999301
1200,27.26282251,37.72671104,35.26532907,42.98187255,31.10318303,22.9498431,47.89613405,67.33531484,51.80691312,40.9441925,23.33785568,40.81103957,42.31749344,32.93100587,53.58231809,27.00879196,82.78471349,77.24336917,55.23131678,75.83158892,47.93921277,57.2314029,69.75375152,44.4284584,43.25564821
1250,27.70599265,36.77588326,35.87445963,41.55603711,34.42745407,23.96666389,47.48042311,66.33020714,49.39271146,41.24803746,24.58735895,41.18224301,43.20077385,,51.80331692,28.80531529,81.91177593,76.42851262,56.24861034,76.86696376,47.51216697,58.47573801,68.7786631,46.18483177,42.14039271
1300,,38.05953925,37.13112399,,,,48.04267117,66.22807029,,,,42.86419889,42.70115855,,,29.7625237,81.13539603,75.8421706,55.98945727,76.00033399,47.72070795,57.96315533,67.03223317,46.09606572,
1350,,,,,,,52.82663516,64.27373544,,,,45.62400944,,,,30.69794444,80.78180893,74.40258377,,,49.66063001,56.98285159,65.36573205,,
1400,,,,,,,,,,,,,,,,,,,,,,59.68542429,,,
