,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,90.0,587,587,0,1.2083285999999998
1, 0, 0, 0, 0, 105.0, 620, 1207, 1, 1.4507168000000004
2, 0, 0, 0, 0, 15.0, 439, 1646, 2, 1.0894983000000007
3, 0, 0, 0, 0, 105.0, 587, 2233, 3, 1.5082985999999998
4, 0, 0, 0, 0, 255.0, 915, 3148, 4, 2.3021196999999987
5, 0, 0, 0, 0, 120.0, 550, 3698, 5, 1.2947955000000029
6, 0, 0, 0, 0, 80.0, 504, 4202, 6, 1.1621840999999975
7, 0, 0, 0, 0, 210.0, 839, 5041, 7, 1.8581152000000003
8, 0, 0, 0, 0, 45.0, 459, 5500, 8, 1.0751905000000015
9, 0, 0, 0, 0, 50.0, 513, 6013, 9, 1.2243773000000004
10, 0, 0, 0, 0, 410.0, 836, 6849, 10, 2.0140188000000023
11, 0, 0, 0, 0, 110.0, 666, 7515, 11, 1.623000900000001
12, 0, 0, 0, 0, 30.0, 561, 8076, 12, 1.2598063999999987
13, 0, 0, 0, 0, 270.0, 1103, 9179, 13, 2.481312499999998
14, 0, 0, 0, 0, 155.0, 547, 9726, 14, 1.187539600000001
15, 0, 0, 0, 0, 100.0, 390, 10116, 15, 0.8444211000000053
16, 0, 0, 0, 0, 110.0, 654, 10770, 16, 1.3787947000000003
17, 0, 0, 0, 0, 105.0, 779, 11549, 17, 1.6957766999999961
18, 0, 0, 0, 0, 105.0, 567, 12116, 18, 1.2116578000000047
19, 0, 0, 0, 0, 135.0, 662, 12778, 19, 1.3555212999999995
20, 0, 0, 0, 0, 215.0, 821, 13599, 20, 1.6997015000000033
21, 0, 0, 0, 0, 260.0, 1161, 14760, 21, 2.395169899999999
22, 0, 0, 0, 0, 10.0, 433, 15193, 22, 0.907112699999999
23, 0, 0, 0, 0, 315.0, 1187, 16380, 23, 2.3723178000000047
24, 0, 0, 0, 0, 155.0, 768, 17148, 24, 1.5988297999999972
25, 0, 0, 0, 0, 240.0, 871, 18019, 25, 1.7891347999999994
26, 0, 0, 0, 0, 210.0, 765, 18784, 26, 1.6045770000000061
27, 0, 0, 0, 0, 35.0, 510, 19294, 27, 1.0522041999999985
28, 0, 0, 0, 0, 130.0, 621, 19915, 28, 1.2614967000000021
29, 0, 0, 0, 0, 120.0, 782, 20697, 29, 1.5574294999999978
30, 0, 0, 0, 0, 120.0, 743, 21440, 30, 1.612440300000003
31, 0, 0, 0, 0, 180.0, 783, 22223, 31, 1.6592410000000015
32, 0, 0, 0, 0, 145.0, 636, 22859, 32, 1.425455399999997
33, 0, 0, 0, 0, 30.0, 584, 23443, 33, 1.4676659
34, 0, 0, 0, 0, 110.0, 628, 24071, 34, 1.3420386000000022
35, 0, 0, 0, 0, 135.0, 748, 24819, 35, 1.7144269999999935
36, 0, 0, 0, 0, 90.0, 544, 25363, 36, 1.278422599999999
37, 0, 0, 0, 0, 65.0, 568, 25931, 37, 1.5954677000000004
38, 0, 0, 0, 0, 80.0, 550, 26481, 38, 1.554005200000006
39, 0, 0, 0, 0, 345.0, 948, 27429, 39, 2.2547967
40, 0, 0, 0, 0, 65.0, 404, 27833, 40, 0.9189113000000049
41, 0, 0, 0, 0, 155.0, 682, 28515, 41, 1.5352187000000015
42, 0, 0, 0, 0, 120.0, 724, 29239, 42, 1.5199116000000004
43, 0, 0, 0, 0, 155.0, 789, 30028, 43, 1.658725700000005
44, 0, 0, 0, 0, 110.0, 408, 30436, 44, 0.8475107999999949
45, 0, 0, 0, 0, 105.0, 358, 30794, 45, 0.7601736000000017
46, 0, 0, 0, 0, 180.0, 727, 31521, 46, 1.4669471999999928
47, 0, 0, 0, 0, 140.0, 648, 32169, 47, 1.3420674999999989
48, 0, 0, 0, 0, 360.0, 1138, 33307, 48, 2.3883189000000016
49, 0, 0, 0, 0, 465.0, 1555, 34862, 49, 3.2072766
50, 0, 0, 0, 0, 180.0, 770, 35632, 50, 1.8216700999999915
51, 0, 0, 0, 0, 230.0, 1051, 36683, 51, 2.347522699999999
52, 0, 0, 0, 0, 105.0, 496, 37179, 52, 1.1601347999999945
53, 0, 0, 0, 0, 120.0, 696, 37875, 53, 1.6220317999999878
54, 0, 0, 0, 0, 335.0, 812, 38687, 54, 1.7983625000000103
55, 0, 0, 0, 0, 220.0, 994, 39681, 55, 2.0026327000000066
56, 0, 0, 0, 0, 120.0, 491, 40172, 56, 1.0317638000000073
57, 0, 0, 0, 0, 55.0, 414, 40586, 57, 0.8388556000000023
58, 0, 0, 0, 0, 55.0, 413, 40999, 58, 0.8224450000000019
59, 0, 0, 0, 0, 115.0, 800, 41799, 59, 1.5455683999999934
60, 0, 0, 0, 0, 120.0, 657, 42456, 60, 1.3620571000000012
61, 0, 0, 0, 0, 105.0, 647, 43103, 61, 1.3077348999999998
62, 0, 0, 0, 0, 210.0, 741, 43844, 62, 1.4712830999999937
63, 0, 0, 0, 0, 55.0, 387, 44231, 63, 0.8149566000000021
64, 0, 0, 0, 0, 380.0, 813, 45044, 64, 1.592947499999994
65, 0, 0, 0, 0, 110.0, 443, 45487, 65, 0.9523720000000111
66, 0, 0, 0, 0, 180.0, 763, 46250, 66, 1.4983919999999955
67, 0, 0, 0, 0, 85.0, 385, 46635, 67, 0.7623851999999971
68, 0, 0, 0, 0, 350.0, 939, 47574, 68, 1.8267031999999972
69, 0, 0, 0, 0, 110.0, 642, 48216, 69, 1.2701959999999985
70, 0, 0, 0, 0, 100.0, 694, 48910, 70, 1.356080899999995
71, 0, 0, 0, 0, 140.0, 839, 49749, 71, 1.615279700000002
72, 0, 0, 0, 0, 20.0, 593, 50342, 72, 1.1721778
73, 0, 0, 0, 0, 180.0, 694, 51036, 73, 1.3662571000000128
74, 0, 0, 0, 0, 155.0, 840, 51876, 74, 1.637009500000005
75, 0, 0, 0, 0, 120.0, 757, 52633, 75, 1.4914334999999994
76, 0, 0, 0, 0, 75.0, 517, 53150, 76, 1.0326636000000065
77, 0, 0, 0, 0, 50.0, 499, 53649, 77, 0.9948812000000089
78, 0, 0, 0, 0, 55.0, 597, 54246, 78, 1.1915496000000019
79, 0, 0, 0, 0, 450.0, 1541, 55787, 79, 2.929957800000011
