,loss,mae,mean_q,mean_eps,episode_reward,nb_episode_steps,nb_steps,episode,duration
0,0,0,0,0,115.0,549,549,0,1.1033860000000004
1, 0, 0, 0, 0, 50.0, 403, 952, 1, 0.812540199999999
2, 0, 0, 0, 0, 120.0, 732, 1684, 2, 1.4938544
3, 0, 0, 0, 0, 75.0, 518, 2202, 3, 1.1306899000000001
4, 0, 0, 0, 0, 80.0, 496, 2698, 4, 1.172525499999999
5, 0, 0, 0, 0, 135.0, 676, 3374, 5, 1.3724710000000009
6, 0, 0, 0, 0, 30.0, 527, 3901, 6, 1.2105887000000006
7, 0, 0, 0, 0, 120.0, 744, 4645, 7, 2.054708699999999
8, 0, 0, 0, 0, 110.0, 735, 5380, 8, 2.0590708000000006
9, 0, 0, 0, 0, 210.0, 663, 6043, 9, 1.4179765000000017
10, 0, 0, 0, 0, 35.0, 589, 6632, 10, 1.3872006
11, 0, 0, 0, 0, 125.0, 597, 7229, 11, 2.0801884999999984
12, 0, 0, 0, 0, 120.0, 636, 7865, 12, 1.7857373999999986
13, 0, 0, 0, 0, 465.0, 1018, 8883, 13, 2.2101827000000007
14, 0, 0, 0, 0, 30.0, 400, 9283, 14, 0.8946015000000003
15, 0, 0, 0, 0, 335.0, 1078, 10361, 15, 2.2612819
16, 0, 0, 0, 0, 80.0, 501, 10862, 16, 1.1638490000000061
17, 0, 0, 0, 0, 95.0, 671, 11533, 17, 1.618540699999997
18, 0, 0, 0, 0, 135.0, 628, 12161, 18, 1.3835505000000055
19, 0, 0, 0, 0, 135.0, 672, 12833, 19, 1.4370891999999955
20, 0, 0, 0, 0, 30.0, 383, 13216, 20, 0.8619059999999976
21, 0, 0, 0, 0, 245.0, 942, 14158, 21, 2.448613100000003
22, 0, 0, 0, 0, 75.0, 551, 14709, 22, 1.2106835999999959
23, 0, 0, 0, 0, 65.0, 363, 15072, 23, 0.8166459000000046
24, 0, 0, 0, 0, 225.0, 834, 15906, 24, 1.9384004000000061
25, 0, 0, 0, 0, 75.0, 507, 16413, 25, 1.1110651999999988
26, 0, 0, 0, 0, 120.0, 650, 17063, 26, 1.5313298999999958
27, 0, 0, 0, 0, 180.0, 623, 17686, 27, 1.6534130999999945
28, 0, 0, 0, 0, 110.0, 637, 18323, 28, 1.7402203000000043
29, 0, 0, 0, 0, 110.0, 701, 19024, 29, 1.6687440000000038
30, 0, 0, 0, 0, 390.0, 1248, 20272, 30, 2.666474699999995
31, 0, 0, 0, 0, 380.0, 1218, 21490, 31, 2.4368624999999966
32, 0, 0, 0, 0, 315.0, 910, 22400, 32, 1.9635060999999965
33, 0, 0, 0, 0, 240.0, 1108, 23508, 33, 2.4485446999999994
34, 0, 0, 0, 0, 30.0, 532, 24040, 34, 1.1968105999999992
35, 0, 0, 0, 0, 30.0, 569, 24609, 35, 1.3193432999999999
36, 0, 0, 0, 0, 110.0, 619, 25228, 36, 1.4456514000000027
37, 0, 0, 0, 0, 120.0, 630, 25858, 37, 1.3406990999999948
38, 0, 0, 0, 0, 185.0, 683, 26541, 38, 1.4543153000000046
39, 0, 0, 0, 0, 75.0, 646, 27187, 39, 1.3127037999999942
40, 0, 0, 0, 0, 55.0, 387, 27574, 40, 0.7832551000000052
41, 0, 0, 0, 0, 110.0, 704, 28278, 41, 1.3830942000000022
42, 0, 0, 0, 0, 490.0, 1157, 29435, 42, 2.2244403999999918
43, 0, 0, 0, 0, 75.0, 478, 29913, 43, 0.9588305999999989
44, 0, 0, 0, 0, 50.0, 386, 30299, 44, 0.774966500000005
45, 0, 0, 0, 0, 260.0, 910, 31209, 45, 1.7784764999999965
46, 0, 0, 0, 0, 105.0, 677, 31886, 46, 1.3502685999999926
47, 0, 0, 0, 0, 80.0, 609, 32495, 47, 1.1816649999999953
48, 0, 0, 0, 0, 450.0, 948, 33443, 48, 1.891270199999994
49, 0, 0, 0, 0, 155.0, 700, 34143, 49, 1.3949157999999926
50, 0, 0, 0, 0, 120.0, 653, 34796, 50, 1.2691568999999987
51, 0, 0, 0, 0, 50.0, 661, 35457, 51, 1.2804689999999965
52, 0, 0, 0, 0, 105.0, 586, 36043, 52, 1.165075200000004
53, 0, 0, 0, 0, 355.0, 767, 36810, 53, 1.5084382000000005
54, 0, 0, 0, 0, 135.0, 808, 37618, 54, 1.5487526999999943
55, 0, 0, 0, 0, 210.0, 922, 38540, 55, 1.86096169999999
56, 0, 0, 0, 0, 5.0, 484, 39024, 56, 0.9770567000000057
57, 0, 0, 0, 0, 210.0, 919, 39943, 57, 1.8444113999999985
58, 0, 0, 0, 0, 75.0, 380, 40323, 58, 0.7811623000000054
59, 0, 0, 0, 0, 135.0, 677, 41000, 59, 1.3323675999999978
60, 0, 0, 0, 0, 125.0, 845, 41845, 60, 1.7322623000000021
61, 0, 0, 0, 0, 155.0, 680, 42525, 61, 1.6476307000000077
62, 0, 0, 0, 0, 80.0, 377, 42902, 62, 0.8222904
63, 0, 0, 0, 0, 315.0, 1082, 43984, 63, 2.3607543000000106
64, 0, 0, 0, 0, 230.0, 1179, 45163, 64, 2.4905746999999963
65, 0, 0, 0, 0, 120.0, 648, 45811, 65, 1.4123473000000075
66, 0, 0, 0, 0, 120.0, 727, 46538, 66, 1.5277566000000036
67, 0, 0, 0, 0, 170.0, 759, 47297, 67, 1.5979248999999953
68, 0, 0, 0, 0, 125.0, 530, 47827, 68, 1.143929199999988
69, 0, 0, 0, 0, 120.0, 661, 48488, 69, 1.40676169999999
70, 0, 0, 0, 0, 155.0, 938, 49426, 70, 2.072216400000002
71, 0, 0, 0, 0, 130.0, 771, 50197, 71, 1.6437415999999985
72, 0, 0, 0, 0, 75.0, 420, 50617, 72, 0.9253391000000022
73, 0, 0, 0, 0, 135.0, 653, 51270, 73, 1.4329952999999875
74, 0, 0, 0, 0, 50.0, 590, 51860, 74, 1.3001404999999977
75, 0, 0, 0, 0, 140.0, 752, 52612, 75, 1.6981157999999965
76, 0, 0, 0, 0, 110.0, 641, 53253, 76, 1.4226785000000035
77, 0, 0, 0, 0, 215.0, 912, 54165, 77, 1.9277337999999986
78, 0, 0, 0, 0, 210.0, 822, 54987, 78, 1.7326454000000098
